"sf__Id","sf__Error",Id,Account__c
"a0Afio0000002HxEAI","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Account__c. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Account__c --","a0Afio0000002HxEAI","001fio000001lZwAAI"
"a0Afio0000002HyEAI","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Account__c. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Account__c --","a0Afio0000002HyEAI","001fio000001lZwAAI"
"a0Afio0000002HzEAI","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Account__c. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Account__c --","a0Afio0000002HzEAI","001fio000001lZwAAI"
"a0Afio0000002I0EAI","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: Account__c. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:Account__c --","a0Afio0000002I0EAI","001fio000001lZwAAI"
